Entrez_Gene_Id	Tumor_Sample_Barcode
2909	TCGA-02-0083-01A-01W
2911	TCGA-06-0148-01A-03W
2911	TCGA-06-0145-01A-01W
2921	TCGA-02-0010-01A-01W
2949	TCGA-02-0006-01B-01W-0189-08
2949	TCGA-02-0047-01A-01W-0189-08
2949	TCGA-06-0150-01A-01W-0254-08
2956	TCGA-02-0114-01A-01W
2956	TCGA-02-0010-01A-01W
2956	TCGA-02-0083-01A-01W
2956	TCGA-02-0043-01A-01W
2993	TCGA-02-0079-01A-01W
2993	TCGA-08-0375-01A-01W
3055	TCGA-06-0646-01A-01W-0323-08
3082	TCGA-08-0390-01A-01W
3133	TCGA-02-0070-01A-01W-0318-08
3133	TCGA-02-0079-01A-01W-0323-08
3133	TCGA-08-0373-01A-01W-0323-08
3250	TCGA-02-0114-01A-01W
3312	TCGA-08-0375-01A-01W-0318-08
3312	TCGA-02-0070-01A-01W-0318-08
3320	TCGA-02-0010-01A-01W
3320	TCGA-02-0083-01A-01W
3356	TCGA-02-0083-01A-01W
3371	TCGA-06-0188-01A-01W-0254-08
3371	TCGA-02-0083-01A-01W-0206-08
3371	TCGA-02-0010-01A-01W-0189-08
3399	TCGA-02-0114-01A-01W-0206-08
3417	TCGA-02-0010-01A-01W
3417	TCGA-02-0014-01A-01W
3417	TCGA-02-0026-01B-01W
3417	TCGA-02-0028-01A-01W
3417	TCGA-02-0058-01A-01W
3417	TCGA-02-0080-01A-01W
3417	TCGA-06-0128-01A-01W
3417	TCGA-06-0129-01A-01W
3417	TCGA-08-0344-01A-01W
3417	TCGA-06-0221-01A-01W
3452	TCGA-02-0099-01A-01W
3611	TCGA-02-0010-01A-01W
3643	TCGA-08-0385-01A-01W
3670	TCGA-02-0069-01A-01W-0206-08
3683	TCGA-08-0353-01A-01W-0318-08
3689	TCGA-02-0014-01A-01W-0189-08
3689	TCGA-06-0158-01A-01W-0254-08
3690	TCGA-06-0141-01A-01W-0224-08
3690	TCGA-02-0083-01A-01W-0206-08
3690	TCGA-02-0015-01A-01W-0318-08
3690	TCGA-02-0010-01A-01W-0189-08
3710	TCGA-02-0028-01A-01W
3710	TCGA-02-0083-01A-01W
3710	TCGA-06-0209-01A-01W
3710	TCGA-02-0114-01A-01W
3755	TCGA-02-0028-01A-01W
3773	TCGA-02-0028-01A-01W
3791	TCGA-06-0188-01A-01W
3815	TCGA-02-0083-01A-01W
3815	TCGA-06-0644-01A-02W-0323-08
3815	TCGA-02-0083-01A-01W-0206-08
3838	TCGA-06-0141-01A-01W-0224-08
3895	TCGA-02-0083-01A-01W-0206-08
3916	TCGA-02-0083-01A-01W-0206-08
3916	TCGA-02-0116-01A-01W-0206-08
3959	TCGA-02-0015-01A-01W-0318-08
3959	TCGA-02-0028-01A-01W-0189-08
3959	TCGA-08-0344-01A-01W-0318-08
4060	TCGA-06-0145-01A-01W
